date,price_rm_per_g,price_usd_per_oz,usd_myr_rate,pawnshop_sell_rm_per_g,pawnshop_buy_rm_per_g,pawnshop_spread_pct,pawnshop_rate_source,daily_change_rm,daily_change_pct,ma_7d,ma_30d,high_30d,low_30d,pct_from_30d_high
2026-02-26,647.1561,5176.5,3.8885,658.2736,685.7733,4.2493,BNM Kijang Emas (2026-08-26),,,647.1561,647.1561,647.1561,647.1561,0.0
2026-02-27,646.0743,5176.5,3.882,657.1732,684.6269,4.2493,BNM Kijang Emas (2026-08-26),-1.0818,-0.1672,646.6152,646.6152,647.1561,646.0743,-0.1672
2026-02-27,652.814,5230.5,3.882,664.0287,691.7688,4.2493,BNM Kijang Emas (2026-08-26),6.7397,1.0432,648.6815,648.6815,652.814,646.0743,0.0
2026-03-02,653.9575,5230.5,3.8888,665.1918,692.9805,4.2493,BNM Kijang Emas (2026-08-26),1.1435,0.1752,650.0005,650.0005,653.9575,646.0743,0.0
2026-03-02,661.9468,5294.3999,3.8888,673.3184,701.4465,4.2493,BNM Kijang Emas (2026-08-26),7.9893,1.2217,652.3898,652.3898,661.9468,646.0743,0.0
2026-03-03,667.9385,5294.3999,3.924,679.413,707.7958,4.2493,BNM Kijang Emas (2026-08-26),5.9917,0.9052,654.9812,654.9812,667.9385,646.0743,0.0
2026-03-03,644.3467,5107.3999,3.924,655.4159,682.7962,4.2493,BNM Kijang Emas (2026-08-26),-23.5918,-3.532,653.462,653.462,667.9385,644.3467,-3.532
2026-03-04,647.5487,5107.3999,3.9435,658.6729,686.1893,4.2493,BNM Kijang Emas (2026-08-26),3.202,0.4969,653.5181,652.7228,667.9385,644.3467,-3.0526
2026-03-04,649.1716,5120.2002,3.9435,660.3237,687.9091,4.2493,BNM Kijang Emas (2026-08-26),1.6229,0.2506,653.9606,652.3283,667.9385,644.3467,-2.8097
2026-03-05,648.3485,5120.2002,3.9385,659.4865,687.0368,4.2493,BNM Kijang Emas (2026-08-26),-0.8231,-0.1268,653.3226,651.9303,667.9385,644.3467,-2.9329
2026-03-05,641.3967,5065.2998,3.9385,652.4153,679.6702,4.2493,BNM Kijang Emas (2026-08-26),-6.9518,-1.0722,651.5282,650.9727,667.9385,641.3967,-3.9737
2026-03-06,642.8624,5065.2998,3.9475,653.9061,681.2234,4.2493,BNM Kijang Emas (2026-08-26),1.4657,0.2285,648.8019,650.2968,667.9385,641.3967,-3.7543
