,Company name,Market,Pending submission to authorities,"Submitted, pending authorities’ approval","Approval obtained, pending implementation","Implemented, pending compliance with Paragraph 5.2(c) of PN17",Trading status of listed securities,Status,Source File,_2,_3
1,APFT Berhad,Main – PN17,√,,,,Trading,3 February 2020,5e42765a39fba268f21251a4_Status-of-PN17-and-GN3-Companies-Jan2020.pdf,,
2,Asia Media Group Berhad,Main – PN17,√,,,,Trading,3 February 2020,5e42765a39fba268f21251a4_Status-of-PN17-and-GN3-Companies-Jan2020.pdf,,
3,Barakah Offshore Petroleum Berhad,Main – PN17,√,,,,Trading,3 February 2020,5e42765a39fba268f21251a4_Status-of-PN17-and-GN3-Companies-Jan2020.pdf,,
4,Berjaya Media Berhad,Main – PN17,√,,,,Suspended,3 February 2020,5e42765a39fba268f21251a4_Status-of-PN17-and-GN3-Companies-Jan2020.pdf,,
5,Bertam Alliance Berhad,Main – PN17,√,,,,Trading,3 February 2020,5e42765a39fba268f21251a4_Status-of-PN17-and-GN3-Companies-Jan2020.pdf,,
6,Brahim’s Holdings Berhad,Main – PN17,√,,,,Trading,3 February 2020,5e42765a39fba268f21251a4_Status-of-PN17-and-GN3-Companies-Jan2020.pdf,,
7,China Automobile Parts Holdings Limited,Main – PN17,√,,,,Suspended,Hyperlinks: Announcement dated 3 February 2020,5e42765a39fba268f21251a4_Status-of-PN17-and-GN3-Companies-Jan2020.pdf,,
8,Comintel Corporation Berhad,Main – PN17,√,,,,Trading,4 February 2020,5e42765a39fba268f21251a4_Status-of-PN17-and-GN3-Companies-Jan2020.pdf,,
9,Daya Materials Berhad,Main – PN17,√,,,,Trading,4 February 2020,5e42765a39fba268f21251a4_Status-of-PN17-and-GN3-Companies-Jan2020.pdf,,
10,EKA Noodles Berhad,Main – PN17,,,√,,Trading,3 February 2020,5e42765a39fba268f21251a4_Status-of-PN17-and-GN3-Companies-Jan2020.pdf,,
11,FSBM Holdings Berhad,Main – PN17,√,,,,Trading,3 February 2020,5e42765a39fba268f21251a4_Status-of-PN17-and-GN3-Companies-Jan2020.pdf,,
