Report Date,PN17_GN3_Count,Percentage_of_Total,Total_Listed_Companies,Source File
1 Jan 2020,26,2.89%,901,5e42765a39fba268f21251a4_Status-of-PN17-and-GN3-Companies-Jan2020.pdf
1 Mar 2020,27,2.99%,902,5e8d97865b711a2b4fdfc378_Status-of-PN17-and-GN3-Companies_Mar2020.pdf
5 April 2022,27,2.91%,927,624fa27a39fba24fce808e3e_Status_of_PN17_and_GN3_Companies.pdf
6 January 2023,27,2.85%,946,63bbab9e5b711a06ff218b71_Status_of_PN17_and_GN3_Companies.pdf
4 January 2024,25,2.60%,966,65976239e6414a9655fe3d57_Status_of_PN17_and_GN3_Companies.pdf
6 March 2024,26,2.68%,970,65e81388cd34aa52dd1bad89_Status_of_PN17_and_GN3_Companies.pdf
6 June 2024,26,2.65%,981,66629007cd34aa82e192aeb5_Monthly_Announcement.pdf
3 July 2024,25,2.54%,985,6685f6c2e6414a316a4f572f_Status_of_PN17_and_GN3_Companies.pdf
5 August 2024,25,2.53%,989,66b09de7cd34aa9e977970f4_Status_of_PN17_and_GN3_Companies.pdf
4 September 2024,25,2.52%,992,66d81f31e6414a15cca65984_Status_of_PN17_and_GN3_Companies__2_.pdf
3 October 2024,25,2.51%,995,66fe434bcd34aa0175057420_Status_of_PN17_and_GN3_Companies__3_.pdf
4 November 2024,25,2.50%,1000,67287cb0cd34aafe7238a99f_Monthly_Announcement_1124.pdf
5 December 2024,25,2.45%,1006,675125abcd34aadc2752a612_Status_of_PN17_and_GN3_Companies.pdf
7 January 2025,26,2.57%,1012,677c832be6414a9ba824433c_Status_of_PN17_and_GN3_Companies.pdf
6 February 2025,26,2.56%,1015,67a40b07e6414af5ea14dea1_Status_of_PN17_and_GN3_Companies.pdf
5 March 2025,24,2.36%,1018,67c7cad0e6414a46e8bbdf91_Status_of_PN17_and_GN3_Companies__March_.pdf
4 April 2025,24,2.35%,1022,67efa1ede6414abe9da32361_Status_of_PN17_and_GN3_Companies.pdf
5 May 2025,24,2.34%,1025,6818844dcd34aa56cfc1b330_Status_of_PN17_and_GN3_Companies.pdf
4 June 2025,24,2.33%,1031,683ffff9cd34aa548118b0d9_Status_of_PN17_and_GN3_Companies.pdf
3 July 2025,23,2.22%,1036,6865e8cccd34aaddc0b03019_Status_of_PN17_and_GN3_Companies__July_.pdf
12 August  2025,21,2.02%,1038,689a9240e6414a091850767a_Status_of_PN17_and_GN3_Companies_Aug2025.pdf
3 September 2025,21,2.03%,1037,Status_of_PN17_and_GN3_Companies_Sept2025.pdf
8 April 2026,16,1.50%,1061,12,4
8 April 2026,16,1.50%,1061,12,4
