dun_neg,Kod_Dun,Nama_Dun,Kod_Par,Nama_Par,Kod_Ng,Ng,JUMLAH_PENDUDUK,WARGANEGARA,BUKAN_WARGA,LELAKI,PEREMPUAN,WARGANEGARA(%),BUKAN_WARGA(%),BUMIPUTERA(%),CINA(%),INDIA(%),LAIN-LAIN(%),UMUR_0_14,UMUR_15_64,UMUR_65_LEBIH,UMUR_18_LEBIH,JUMLAH_NISBAH_TANGGUNGAN,UMUR_MUDA,UMUR_TUA,NISBAH_JANTINA,KEPADATAN_PENDUDUK,P.JUMLAH_PENDUDUK,P.WARGANEGARA,P.BUKAN_WARGA,P.LELAKI,P.PEREMPUAN,P.WARGANEGARA(%),P.BUKAN_WARGA(%),P.BUMIPUTERA(%),P.CINA(%),P.INDIA(%),P.LAIN-LAIN(%),P.UMUR_0_14,P.UMUR_15_64,P.UMUR_65_LEBIH,P.UMUR_18_LEBIH,P.JUMLAH_NISBAH_TANGGUNGAN,P.UMUR_MUDA,P.UMUR_TUA,P.NISBAH_JANTINA,P.KEPADATAN_PENDUDUK,TAHUN
N.01_09,N.01,Titi Tinggi,P.001,Padang Besar,9,Perlis,18.9,18.3,0.6,10.0,8.9,97.0,3.0,80.8,15.3,2.9,1.0,20.6,71.8,7.6,71.4,39.3,28.7,10.6,111.5,157.28333333333333,87.6,84.5,3.1,44.9,42.8,96.5,3.5,89.9,5.6,1.6,2.9,21.2,70.4,8.4,69.7,42.1,30.1,12.0,105.0,194.71777777777777,2021
N.01_09,N.01,Titi Tinggi,P.001,Padang Besar,9,Perlis,19.0,18.4,0.6,10.0,9.0,96.8,3.2,81.0,15.2,2.8,1.0,20.5,71.7,7.8,73.7,39.6,28.7,10.9,111.5,158.46666666666667,88.3,85.0,3.2,45.2,43.1,96.3,3.7,90.0,5.5,1.6,2.9,21.1,70.2,8.7,71.9,42.4,30.1,12.3,104.9,196.18444444444444,2022
N.02_09,N.02,Beseri,P.001,Padang Besar,9,Perlis,18.3,17.1,1.2,9.2,9.1,93.4,6.6,93.4,5.0,0.6,1.0,20.4,71.8,7.8,70.1,39.3,28.4,10.9,100.6,137.6015037593985,87.6,84.5,3.1,44.9,42.8,96.5,3.5,89.9,5.6,1.6,2.9,21.2,70.4,8.4,69.7,42.1,30.1,12.0,105.0,194.71777777777777,2021
N.02_09,N.02,Beseri,P.001,Padang Besar,9,Perlis,18.4,17.2,1.3,9.2,9.2,93.1,6.9,93.5,4.9,0.6,1.0,20.400000000000002,71.6,8.0,72.3,39.6,28.4,11.2,100.6,138.6390977443609,88.3,85.0,3.2,45.2,43.1,96.3,3.7,90.0,5.5,1.6,2.9,21.1,70.2,8.7,71.9,42.4,30.1,12.3,104.9,196.18444444444444,2022
N.03_09,N.03,Chuping,P.001,Padang Besar,9,Perlis,24.5,23.5,1.0,12.7,11.7,96.1,3.9,84.7,3.8,2.9,8.6,23.299999999999997,68.9,7.8,67.3,45.2,33.9,11.3,108.3,163.12666666666667,87.6,84.5,3.1,44.9,42.8,96.5,3.5,89.9,5.6,1.6,2.9,21.2,70.4,8.4,69.7,42.1,30.1,12.0,105.0,194.71777777777777,2021
N.03_09,N.03,Chuping,P.001,Padang Besar,9,Perlis,24.7,23.6,1.0,12.8,11.8,95.9,4.1,84.89999999999999,3.7,2.8,8.6,23.3,68.7,8.0,69.4,45.6,33.9,11.6,108.3,164.36,88.3,85.0,3.2,45.2,43.1,96.3,3.7,90.0,5.5,1.6,2.9,21.1,70.2,8.7,71.9,42.4,30.1,12.3,104.9,196.18444444444444,2022
N.04_09,N.04,Mata Ayer,P.001,Padang Besar,9,Perlis,12.0,11.9,0.1,6.1,5.9,99.1,0.9,97.6,1.1,0.6,0.7,20.1,70.9,9.0,69.6,41.1,28.4,12.7,102.6,599.8,87.6,84.5,3.1,44.9,42.8,96.5,3.5,89.9,5.6,1.6,2.9,21.2,70.4,8.4,69.7,42.1,30.1,12.0,105.0,194.71777777777777,2021
N.04_09,N.04,Mata Ayer,P.001,Padang Besar,9,Perlis,12.1,12.0,0.1,6.1,6.0,99.1,0.9,97.6,1.1,0.6,0.7,20.1,70.7,9.2,71.8,41.5,28.4,13.1,102.6,604.3,88.3,85.0,3.2,45.2,43.1,96.3,3.7,90.0,5.5,1.6,2.9,21.1,70.2,8.7,71.9,42.4,30.1,12.3,104.9,196.18444444444444,2022
N.05_09,N.05,Santan,P.001,Padang Besar,9,Perlis,14.0,13.7,0.2,6.9,7.0,98.3,1.7,99.8,0.1,0.0,0.1,20.0,68.9,11.1,70.9,45.1,29.0,16.1,98.6,517.8888888888889,87.6,84.5,3.1,44.9,42.8,96.5,3.5,89.9,5.6,1.6,2.9,21.2,70.4,8.4,69.7,42.1,30.1,12.0,105.0,194.71777777777777,2021
N.05_09,N.05,Santan,P.001,Padang Besar,9,Perlis,14.1,13.8,0.3,7.0,7.1,98.2,1.8,99.8,0.1,0.0,0.1,20.0,68.7,11.3,73.1,45.5,29.0,16.5,98.6,521.7777777777778,88.3,85.0,3.2,45.2,43.1,96.3,3.7,90.0,5.5,1.6,2.9,21.1,70.2,8.7,71.9,42.4,30.1,12.3,104.9,196.18444444444444,2022
N.06_09,N.06,Bintong,P.002,Kangar,9,Perlis,28.3,27.6,0.7,13.9,14.3,97.5,2.5,95.2,3.0,1.6,0.2,21.299999999999997,71.3,7.4,69.8,40.3,30.0,10.4,97.1,428.3181818181818,101.7,99.1,2.6,50.3,51.4,97.5,2.5,87.4,9.5,1.5,1.6,21.2,70.5,8.3,70.3,41.9,30.2,11.8,97.9,721.3617021276596,2021
