Dun_Neg,Kod_Dun,Nama_Dun,Kod_Par,Nama_Par,Kod_Ng,Ng,Dimiliki,Disewa,Kuarters,P.Dimiliki,P.Disewa,P.Kuarters,TAHUN
N.01_09,N.01,Titi Tinggi,P.001,Padang Besar,9,Perlis,83.35891925084434,7.552962849247774,9.08811789990789,86.79938152299961,7.009406004380879,6.191212472619507,2019
N.02_09,N.02,Beseri,P.001,Padang Besar,9,Perlis,85.52499999999999,13.25,1.225,86.79938152299961,7.009406004380879,6.191212472619507,2019
N.03_09,N.03,Chuping,P.001,Padang Besar,9,Perlis,83.41968911917098,0.6476683937823834,15.958549222797927,86.79938152299961,7.009406004380879,6.191212472619507,2019
N.04_09,N.04,Mata Ayer,P.001,Padang Besar,9,Perlis,94.50056116722784,5.499438832772166,0.0,86.79938152299961,7.009406004380879,6.191212472619507,2019
N.05_09,N.05,Santan,P.001,Padang Besar,9,Perlis,93.22901849217638,6.770981507823613,0.0,86.79938152299961,7.009406004380879,6.191212472619507,2019
N.06_09,N.06,Bintong,P.002,Kangar,9,Perlis,87.71147053355642,11.823759063022866,0.46477040342071013,82.52028310029345,13.80631796996375,3.673398929742793,2019
N.07_09,N.07,Sena,P.002,Kangar,9,Perlis,75.0,24.14405684754522,0.8559431524547804,82.52028310029345,13.80631796996375,3.673398929742793,2019
N.08_09,N.08,Indera Kayangan,P.002,Kangar,9,Perlis,81.66036438638707,16.517703678239943,1.8391199724991407,82.52028310029345,13.80631796996375,3.673398929742793,2019
N.09_09,N.09,Kuala Perlis,P.002,Kangar,9,Perlis,87.2061306663203,11.092349655799454,1.7015196778802442,82.52028310029345,13.80631796996375,3.673398929742793,2019
N.10_09,N.10,Kayang,P.002,Kangar,9,Perlis,79.3343653250774,1.3673890608875128,19.327296248382925,82.52028310029345,13.80631796996375,3.673398929742793,2019
N.11_09,N.11,Pauh,P.003,Arau,9,Perlis,75.44329896907217,14.309278350515465,10.247422680412372,85.11428972093675,9.360538493899874,5.525171785163371,2019
N.12_09,N.12,Tambun Tulang,P.003,Arau,9,Perlis,86.28507295173962,7.744107744107744,5.993265993265993,85.11428972093675,9.360538493899874,5.525171785163371,2019
N.13_09,N.13,Guar Sanji,P.003,Arau,9,Perlis,94.5693911135491,5.430608886450905,0.0,85.11428972093675,9.360538493899874,5.525171785163371,2019
N.14_09,N.14,Simpang Empat,P.003,Arau,9,Perlis,89.27536231884058,10.72463768115942,0.0,85.11428972093675,9.360538493899874,5.525171785163371,2019
N.15_09,N.15,Sanglang,P.003,Arau,9,Perlis,95.78107183580387,2.793614595210946,1.4253135689851768,85.11428972093675,9.360538493899874,5.525171785163371,2019
N.01_02,N.01,Ayer Hangat,P.004,Langkawi,2,Kedah,62.536273940800925,24.6952988972722,12.768427161926871,62.91891891891892,26.528066528066528,10.548856548856548,2019
N.02_02,N.02,Kuah,P.004,Langkawi,2,Kedah,63.21201954634965,27.911895558310846,8.87608489533951,62.91891891891892,26.528066528066528,10.548856548856548,2019
N.03_02,N.03,Kota Siputeh,P.005,Jerlun,2,Kedah,96.00331674958541,3.001658374792703,0.9950248756218906,97.14917476111506,2.384900892363579,0.47382136934375735,2019
N.04_02,N.04,Ayer Hitam,P.005,Jerlun,2,Kedah,97.14917476111506,2.384900892363579,0.47382136934375735,97.14917476111506,2.384900892363579,0.47382136934375735,2019
N.05_02,N.05,Bukit Kayu Hitam,P.006,Kubang Pasu,2,Kedah,80.90524911032028,13.634341637010678,5.46596975088968,80.88070737433355,14.268161572723084,4.851131052943371,2019
N.06_02,N.06,Jitra,P.006,Kubang Pasu,2,Kedah,80.8683361722176,14.681259739789077,4.4504040879933315,80.88070737433355,14.268161572723084,4.851131052943371,2019
N.07_02,N.07,Kuala Nerang,P.007,Padang Terap,2,Kedah,93.28294526392783,6.717054736072169,0.0,94.54701305551893,4.998021891072135,0.45496505340894106,2019
N.08_02,N.08,Pedu,P.007,Padang Terap,2,Kedah,96.0361912968548,2.972856527358897,0.990952175786299,94.54701305551893,4.998021891072135,0.45496505340894106,2019
N.09_02,N.09,Bukit Lada,P.008,Pokok Sena,2,Kedah,88.30050041173118,11.066067017166024,0.6397668968138341,88.93212879314338,10.54899235580264,0.5142460041695622,2019
N.10_02,N.10,Bukit Pinang,P.008,Pokok Sena,2,Kedah,90.67000151584054,9.329998484159466,0.0,88.93212879314338,10.54899235580264,0.5142460041695622,2019
N.11_02,N.11,Derga,P.008,Pokok Sena,2,Kedah,88.03298329692015,11.114243428007612,0.852773275072239,88.93212879314338,10.54899235580264,0.5142460041695622,2019
N.12_02,N.12,Suka Menanti,P.009,Alor Setar,2,Kedah,90.20130972592773,9.806775002021181,0.0,86.32337486863835,12.768353100135116,0.9120252214382224,2019
N.13_02,N.13,Kota Darul Aman,P.009,Alor Setar,2,Kedah,75.0,25.0,0.0,86.32337486863835,12.768353100135116,0.9120252214382224,2019
N.14_02,N.14,Alor Mengkudu,P.009,Alor Setar,2,Kedah,84.21564653425213,13.822456424807458,1.9700040535062828,86.32337486863835,12.768353100135116,0.9120252214382224,2019
N.15_02,N.15,Anak Bukit,P.010,Kuala Kedah,2,Kedah,87.6690248052297,12.330975194770305,0.0,86.18445129921054,13.812934595075024,0.0,2019
N.16_02,N.16,Kubang Rotan,P.010,Kuala Kedah,2,Kedah,78.40846726773815,21.583692669541357,0.0,86.18445129921054,13.812934595075024,0.0,2019
N.17_02,N.17,Pengkalan Kundor,P.010,Kuala Kedah,2,Kedah,91.94808819425063,8.058889198995256,0.0,86.18445129921054,13.812934595075024,0.0,2019
N.18_02,N.18,Tokai,P.011,Pendang,2,Kedah,92.07081103334706,7.295183202964182,0.6257719226018938,95.13306269733874,4.524131709517365,0.34280559314388814,2019
N.19_02,N.19,Sungai Tiang,P.011,Pendang,2,Kedah,98.83291770573565,1.167082294264339,0.0,95.13306269733874,4.524131709517365,0.34280559314388814,2019
N.20_02,N.20,Sungai Limau,P.012,Jerai,2,Kedah,91.40582594535914,7.816175140220735,0.7779989144201195,87.5574272588055,10.17100561510975,2.271567126084737,2019
N.21_02,N.21,Guar Chempedak,P.012,Jerai,2,Kedah,88.80195599022005,8.600682593856655,2.6426133593369086,87.5574272588055,10.17100561510975,2.271567126084737,2019
N.22_02,N.22,Gurun,P.012,Jerai,2,Kedah,85.40033414728184,12.042153964786017,2.5575118879321423,87.5574272588055,10.17100561510975,2.271567126084737,2019
N.23_02,N.23,Belantek,P.013,Sik,2,Kedah,80.84999371306425,11.706274361876021,7.443731925059725,89.89911050086562,6.566772133006984,3.5341173661273957,2019
N.24_02,N.24,Jeneri,P.013,Sik,2,Kedah,89.89911050086562,6.566772133006984,3.5341173661273957,89.89911050086562,6.566772133006984,3.5341173661273957,2019
N.25_02,N.25,Bukit Selambau,P.014,Merbok,2,Kedah,85.8271262774987,12.205092672787114,1.9677810497141865,87.34070047232866,10.885839051777916,1.7734604758934143,2019
N.26_02,N.26,Tanjong Dawai,P.014,Merbok,2,Kedah,90.07366712448496,8.509177175677362,1.4171556998376826,87.34070047232866,10.885839051777916,1.7734604758934143,2019
N.27_02,N.27,Pantai Merdeka,P.015,Sungai Petani,2,Kedah,86.14997641880208,12.953938060053453,0.8960855211444743,81.49384827949207,18.31863938417001,0.18751233633791697,2019
N.28_02,N.28,Bakar Arang,P.015,Sungai Petani,2,Kedah,84.15760124325806,15.842398756741932,0.0,81.49384827949207,18.31863938417001,0.18751233633791697,2019
N.29_02,N.29,Sidam,P.015,Sungai Petani,2,Kedah,77.00794014353336,22.992059856466636,0.0,81.49384827949207,18.31863938417001,0.18751233633791697,2019
N.30_02,N.30,Bayu,P.016,Baling,2,Kedah,83.89223813112284,12.424642049736248,3.6831198191409196,86.60435182347534,10.174685871897026,3.220962304627643,2019
N.31_02,N.31,Kupang,P.016,Baling,2,Kedah,90.82369227726689,8.207257984772076,0.9690497379610403,86.60435182347534,10.174685871897026,3.220962304627643,2019
N.32_02,N.32,Kuala Ketil,P.016,Baling,2,Kedah,85.44537815126051,9.831932773109244,4.722689075630252,86.60435182347534,10.174685871897026,3.220962304627643,2019
N.33_02,N.33,Merbau Pulas,P.017,Padang Serai,2,Kedah,72.67454443145913,19.41306323854045,7.912392330000433,79.45698511426374,17.34922077014466,3.193794115591585,2019
N.34_02,N.34,Lunas,P.017,Padang Serai,2,Kedah,84.04769577827909,15.952304221720915,0.0,79.45698511426374,17.34922077014466,3.193794115591585,2019
N.35_02,N.35,Kulim,P.018,Kulim-Bandar Baharu,2,Kedah,77.66049919284738,20.45821433006333,1.8812864770892834,81.5405599969689,16.27704315538211,2.182396847648998,2019
N.36_02,N.36,Bandar Baharu,P.018,Kulim-Bandar Baharu,2,Kedah,87.61543695926898,9.730728103431515,2.6538349372995045,81.5405599969689,16.27704315538211,2.182396847648998,2019
N.01_03,N.01,Pengkalan Kubor,P.019,Tumpat,3,Kelantan,90.92562284051647,7.274049827241316,1.8003273322422162,90.86111777404653,7.94255217078436,1.1963300551691054,2019
N.02_03,N.02,Kelaboran,P.019,Tumpat,3,Kelantan,87.87561810574363,8.330163560289083,3.794218333967288,90.86111777404653,7.94255217078436,1.1963300551691054,2019
N.03_03,N.03,Pasir Pekan,P.019,Tumpat,3,Kelantan,91.2306832991994,7.633587786259542,1.1357289145410592,90.86111777404653,7.94255217078436,1.1963300551691054,2019
N.04_03,N.04,Wakaf Bharu,P.019,Tumpat,3,Kelantan,92.48029108550637,6.064281382656155,1.4554275318374792,90.86111777404653,7.94255217078436,1.1963300551691054,2019
N.05_03,N.05,Kijang,P.020,Pengkalan Chepa,3,Kelantan,74.43619361936193,24.33993399339934,1.2238723872387238,80.05523055121544,14.152828748955343,5.788307110933469,2019
N.06_03,N.06,Chempaka,P.020,Pengkalan Chepa,3,Kelantan,94.19910587722168,4.830443790208265,0.9704503325700577,80.05523055121544,14.152828748955343,5.788307110933469,2019
N.07_03,N.07,Panchor,P.020,Pengkalan Chepa,3,Kelantan,81.24210146235782,15.18324607329843,3.574652464343748,80.05523055121544,14.152828748955343,5.788307110933469,2019
N.08_03,N.08,Tanjong Mas,P.021,Kota Bharu,3,Kelantan,71.84535234439265,27.672059226761718,0.48807238826432686,71.35923684137123,26.420462469666116,2.223090011436222,2019
N.09_03,N.09,Kota Lama,P.021,Kota Bharu,3,Kelantan,59.04450796243365,36.15080985436233,4.818293180890159,71.35923684137123,26.420462469666116,2.223090011436222,2019
N.10_03,N.10,Bunut Payong,P.021,Kota Bharu,3,Kelantan,79.31437475652513,17.23802103622906,3.447604207245812,71.35923684137123,26.420462469666116,2.223090011436222,2019
N.11_03,N.11,Tendong,P.022,Pasir Mas,3,Kelantan,90.52598720149835,7.023567972530046,2.4504448259716014,87.6423470372515,9.838834201891526,2.5236440841536383,2019
N.12_03,N.12,Pengkalan Pasir,P.022,Pasir Mas,3,Kelantan,81.46365422396856,14.017681728880158,4.508840864440079,87.6423470372515,9.838834201891526,2.5236440841536383,2019
N.13_03,N.13,Meranti,P.022,Pasir Mas,3,Kelantan,93.86028523084362,4.616872129562485,1.5470147449842881,87.6423470372515,9.838834201891526,2.5236440841536383,2019
N.14_03,N.14,Chetok,P.023,Rantau Panjang,3,Kelantan,90.69962295768748,8.148303309593633,1.1520737327188861,90.93126493975315,7.205229523391385,1.8635055368554563,2019
N.15_03,N.15,Gual Periok,P.023,Rantau Panjang,3,Kelantan,86.65343039929407,11.239797043900285,2.1067725568056477,90.93126493975315,7.205229523391385,1.8635055368554563,2019
N.16_03,N.16,Apam Putra,P.023,Rantau Panjang,3,Kelantan,90.23877459077939,6.87790959603544,2.8682985433248236,90.93126493975315,7.205229523391385,1.8635055368554563,2019
