Kod_Dun_State,Kod_Dun,Nama_Dun,Kod_Par,Nama_Par,Kod_Ng,Ng,Tenaga_buruh,Penduduk_bekerja,Penganggur,Luar_tenaga_buruh,Kadar_penyertaan_tenaga_buruh,Kadar_pengangguran,P.Tenaga_buruh,P.Penduduk_bekerja,P.Penganggur,P.Luar_tenaga_buruh,P.Kadar_penyertaan_tenaga_buruh,P.Kadar_pengangguran,TAHUN
N.01_09,N.01,Titi Tinggi,P.001,Padang Besar,9,Perlis,,,,,,,32.7,31.2,1.5,18.1,64.4,4.1,2021
N.02_09,N.02,Beseri,P.001,Padang Besar,9,Perlis,,,,,,,32.7,31.2,1.5,18.1,64.4,4.1,2021
N.03_09,N.03,Chuping,P.001,Padang Besar,9,Perlis,,,,,,,32.7,31.2,1.5,18.1,64.4,4.1,2021
N.04_09,N.04,Mata Ayer,P.001,Padang Besar,9,Perlis,,,,,,,32.7,31.2,1.5,18.1,64.4,4.1,2021
N.05_09,N.05,Santan,P.001,Padang Besar,9,Perlis,,,,,,,32.7,31.2,1.5,18.1,64.4,4.1,2021
N.06_09,N.06,Bintong,P.002,Kangar,9,Perlis,,,,,,,41.2,39.7,1.6,22.7,64.5,4.0,2021
N.07_09,N.07,Sena,P.002,Kangar,9,Perlis,,,,,,,41.2,39.7,1.6,22.7,64.5,4.0,2021
N.08_09,N.08,Indera Kayangan,P.002,Kangar,9,Perlis,,,,,,,41.2,39.7,1.6,22.7,64.5,4.0,2021
N.09_09,N.09,Kuala Perlis,P.002,Kangar,9,Perlis,,,,,,,41.2,39.7,1.6,22.7,64.5,4.0,2021
N.10_09,N.10,Kayang,P.002,Kangar,9,Perlis,,,,,,,41.2,39.7,1.6,22.7,64.5,4.0,2021
N.11_09,N.11,Pauh,P.003,Arau,9,Perlis,,,,,,,39.3,37.6,1.7,23.5,62.6,4.7,2021
N.12_09,N.12,Tambun Tulang,P.003,Arau,9,Perlis,,,,,,,39.3,37.6,1.7,23.5,62.6,4.7,2021
N.13_09,N.13,Guar Sanji,P.003,Arau,9,Perlis,,,,,,,39.3,37.6,1.7,23.5,62.6,4.7,2021
N.14_09,N.14,Simpang Empat,P.003,Arau,9,Perlis,,,,,,,39.3,37.6,1.7,23.5,62.6,4.7,2021
N.15_09,N.15,Sanglang,P.003,Arau,9,Perlis,,,,,,,39.3,37.6,1.7,23.5,62.6,4.7,2021
N.01_02,N.01,Ayer Hangat,P.004,Langkawi,2,Kedah,,,,,,,49.4,46.0,3.5,21.6,69.6,6.8,2021
N.02_02,N.02,Kuah,P.004,Langkawi,2,Kedah,,,,,,,49.4,46.0,3.5,21.6,69.6,6.8,2021
N.03_02,N.03,Kota Siputeh,P.005,Jerlun,2,Kedah,,,,,,,29.7,28.7,1.0,18.8,61.2,3.6,2021
N.04_02,N.04,Ayer Hitam,P.005,Jerlun,2,Kedah,,,,,,,29.7,28.7,1.0,18.8,61.2,3.6,2021
N.05_02,N.05,Bukit Kayu Hitam,P.006,Kubang Pasu,2,Kedah,,,,,,,86.2,83.2,3.0,51.5,62.6,4.0,2021
N.06_02,N.06,Jitra,P.006,Kubang Pasu,2,Kedah,,,,,,,86.2,83.2,3.0,51.5,62.6,4.0,2021
N.07_02,N.07,Kuala Nerang,P.007,Padang Terap,2,Kedah,,,,,,,33.0,31.6,1.4,17.3,65.5,4.2,2021
N.08_02,N.08,Pedu,P.007,Padang Terap,2,Kedah,,,,,,,33.0,31.6,1.4,17.3,65.5,4.2,2021
N.09_02,N.09,Bukit Lada,P.008,Pokok Sena,2,Kedah,,,,,,,60.4,57.7,2.7,32.6,64.9,4.6,2021
N.10_02,N.10,Bukit Pinang,P.008,Pokok Sena,2,Kedah,,,,,,,60.4,57.7,2.7,32.6,64.9,4.6,2021
N.11_02,N.11,Derga,P.008,Pokok Sena,2,Kedah,,,,,,,60.4,57.7,2.7,32.6,64.9,4.6,2021
N.12_02,N.12,Suka Menanti,P.009,Alor Setar,2,Kedah,,,,,,,52.9,50.2,2.7,30.4,63.5,5.5,2021
N.13_02,N.13,Kota Darul Aman,P.009,Alor Setar,2,Kedah,,,,,,,52.9,50.2,2.7,30.4,63.5,5.5,2021
N.14_02,N.14,Alor Mengkudu,P.009,Alor Setar,2,Kedah,,,,,,,52.9,50.2,2.7,30.4,63.5,5.5,2021
N.15_02,N.15,Anak Bukit,P.010,Kuala Kedah,2,Kedah,,,,,,,74.3,70.4,3.9,45.6,62.0,5.2,2021
N.16_02,N.16,Kubang Rotan,P.010,Kuala Kedah,2,Kedah,,,,,,,74.3,70.4,3.9,45.6,62.0,5.2,2021
N.17_02,N.17,Pengkalan Kundor,P.010,Kuala Kedah,2,Kedah,,,,,,,74.3,70.4,3.9,45.6,62.0,5.2,2021
N.18_02,N.18,Tokai,P.011,Pendang,2,Kedah,,,,,,,43.5,41.3,2.2,25.4,63.2,4.9,2021
