state,district,year,variable,value
Johor,Batu Pahat,2018,visual,780
Johor,Johor Bahru,2018,visual,1130
Johor,Kluang,2018,visual,487
Johor,Kota Tinggi,2018,visual,334
Johor,Kulaijaya,2018,visual,290
Johor,Ledang,2018,visual,235
Johor,Mersing,2018,visual,126
Johor,Muar,2018,visual,396
Johor,Pontian,2018,visual,336
Johor,Segamat,2018,visual,388
Johor,Overall,2018,visual,4502
Kedah,Baling,2018,visual,374
Kedah,Bandar Baharu,2018,visual,166
Kedah,Kota Setar,2018,visual,759
Kedah,Kuala Muda,2018,visual,1136
Kedah,Kubang Pasu,2018,visual,499
Kedah,Kulim,2018,visual,585
Kedah,Padang Terap,2018,visual,175
Kedah,Pendang,2018,visual,240
Kedah,Pokok Sena,2018,visual,105
Kedah,Pulau Langkawi,2018,visual,162
Kedah,Sik,2018,visual,213
Kedah,Yan,2018,visual,163
Kedah,Overall,2018,visual,4577
Kelantan,Jajahah Jeli,2018,visual,111
Kelantan,Bachok,2018,visual,260
Kelantan,Gua Musang,2018,visual,172
Kelantan,Kota Bharu,2018,visual,730
Kelantan,Kuala Krai,2018,visual,244
Kelantan,Machang,2018,visual,250
Kelantan,Pasir Mas,2018,visual,347
Kelantan,Pasir Puteh,2018,visual,286
Kelantan,Tanah Merah,2018,visual,269
Kelantan,Tumpat,2018,visual,402
Kelantan,Overall,2018,visual,3071
Melaka,Alor Gajah,2018,visual,443
Melaka,Jasin,2018,visual,358
Melaka,Melaka Tengah,2018,visual,906
Melaka,Overall,2018,visual,1707
Negeri Sembilan,Jelebu,2018,visual,85
Negeri Sembilan,Jempol,2018,visual,208
Negeri Sembilan,Kuala Pilah,2018,visual,144
Negeri Sembilan,Port Dickson,2018,visual,186
Negeri Sembilan,Rembau,2018,visual,121
Negeri Sembilan,Seremban,2018,visual,759
Negeri Sembilan,Tampin,2018,visual,211
Negeri Sembilan,Overall,2018,visual,1714
Pahang,Bentong,2018,visual,197
Pahang,Bera,2018,visual,205
Pahang,Cameron Highlands,2018,visual,27
Pahang,Jerantut,2018,visual,190
Pahang,Kuantan,2018,visual,762
Pahang,Lipis,2018,visual,168
Pahang,Maran,2018,visual,209
Pahang,Pekan,2018,visual,211
Pahang,Raub,2018,visual,140
Pahang,Rompin,2018,visual,200
Pahang,Temerloh,2018,visual,375
Pahang,Overall,2018,visual,2684
Perak,Batang Padang,2018,visual,292
Perak,Hilir Perak,2018,visual,400
Perak,Kampar,2018,visual,139
Perak,Kerian,2018,visual,312
Perak,Kinta,2018,visual,915
Perak,Kuala Kangsar,2018,visual,289
Perak,Larut/ Matang/ Selama,2018,visual,582
Perak,Manjung,2018,visual,455
Perak,Perak Tengah,2018,visual,267
Perak,Bagan Datuk,2018,visual,0
Perak,Overall,2018,visual,3776
Perlis,Perlis,2018,visual,605
Pulau Pinang,Barat Daya,2018,visual,283
Pulau Pinang,Seberang Perai Selatan,2018,visual,310
Pulau Pinang,Seberang Perai Tengah,2018,visual,676
Pulau Pinang,Seberang Perai Utara,2018,visual,586
Pulau Pinang,Timur Laut,2018,visual,1141
Pulau Pinang,Overall,2018,visual,2996
Sabah,Beaufort,2018,visual,123
Sabah,Beluran,2018,visual,44
Sabah,Kemabong,2018,visual,1
Sabah,Keningau,2018,visual,108
Sabah,Kota Belud,2018,visual,88
Sabah,Kota Kinabalu,2018,visual,476
Sabah,Kota Kinabatangan,2018,visual,41
Sabah,Kota Marudu,2018,visual,74
Sabah,Kuala Penyu,2018,visual,13
Sabah,Kunak,2018,visual,19
Sabah,Lahad Datu,2018,visual,82
Sabah,Matunggong,2018,visual,16
Sabah,Membakut,2018,visual,10
Sabah,Menumbok,2018,visual,14
Sabah,Nabawan,2018,visual,26
Sabah,Papar,2018,visual,98
Sabah,Penampang,2018,visual,64
Sabah,Pitas,2018,visual,78
Sabah,Putatan,2018,visual,35
Sabah,Ranau,2018,visual,98
Sabah,Sandakan,2018,visual,260
Sabah,Semporna,2018,visual,156
Sabah,Sipitang,2018,visual,18
Sabah,Sook,2018,visual,15
Sabah,Tambunan,2018,visual,35
Sabah,Tamparuli,2018,visual,77
Sabah,Tawau,2018,visual,330
Sabah,Telupid,2018,visual,20
Sabah,Tenom,2018,visual,54
Sabah,Tongod,2018,visual,38
Sabah,Tuaran,2018,visual,121
Sabah,Overall,2018,visual,2789
Sarawak,Bau,2018,visual,45
Sarawak,Belaga,2018,visual,9
Sarawak,Betong,2018,visual,288
Sarawak,Bintulu,2018,visual,233
Sarawak,Dalat,2018,visual,39
Sarawak,Daro,2018,visual,17
Sarawak,Julau,2018,visual,4
Sarawak,Kanowit,2018,visual,29
Sarawak,Kapit,2018,visual,112
Sarawak,Kota Samarahan,2018,visual,267
Sarawak,Kuching,2018,visual,862
Sarawak,Limbang,2018,visual,112
Sarawak,Lubok Antu,2018,visual,0
Sarawak,Lundu,2018,visual,27
Sarawak,Maradong,2018,visual,28
Sarawak,Marudi,2018,visual,0
Sarawak,Matu,2018,visual,17
Sarawak,Miri,2018,visual,500
Sarawak,Mukah,2018,visual,181
Sarawak,Pakan,2018,visual,0
Sarawak,Saratok,2018,visual,4
Sarawak,Sarikei,2018,visual,203
Sarawak,Selangau,2018,visual,10
Sarawak,Serian,2018,visual,89
Sarawak,Sibu,2018,visual,470
Sarawak,Simunjan,2018,visual,38
Sarawak,Song,2018,visual,22
Sarawak,Sri Aman,2018,visual,198
Sarawak,Tatau,2018,visual,11
Sarawak,Overall,2018,visual,3833
Selangor,Gombak,2018,visual,709
Selangor,Hulu Langat,2018,visual,989
Selangor,Hulu Selangor,2018,visual,298
Selangor,Klang,2018,visual,1072
Selangor,Kuala Langat,2018,visual,333
Selangor,Kuala Selangor,2018,visual,335
Selangor,Petaling,2018,visual,544
Selangor,Sabak Bernam,2018,visual,240
Selangor,Sepang,2018,visual,229
Selangor,Shah Alam,2018,visual,489
Selangor,Subang Jaya,2018,visual,574
Selangor,Overall,2018,visual,5812
Terengganu,Besut,2018,visual,271
Terengganu,Dungun,2018,visual,272
Terengganu,Hulu Terengganu,2018,visual,172
Terengganu,Kemaman,2018,visual,284
Terengganu,Kuala Terengganu,2018,visual,732
Terengganu,Marang,2018,visual,285
Terengganu,Setiu,2018,visual,128
Terengganu,Overall,2018,visual,2144
W.P Kuala Lumpur,W.P Kuala Lumpur,2018,visual,3336
W.P Labuan,W.P Labuan,2018,visual,121
W.P Putrajaya,W.P Putrajaya,2018,visual,44
 Overall,Overall,2018,visual,43711
Johor,Batu Pahat,2019,visual,857
Johor,Johor Bahru,2019,visual,1334
Johor,Kluang,2019,visual,554
Johor,Kota Tinggi,2019,visual,370
Johor,Kulaijaya,2019,visual,309
Johor,Ledang,2019,visual,250
Johor,Mersing,2019,visual,138
Johor,Muar,2019,visual,457
Johor,Pontian,2019,visual,356
Johor,Segamat,2019,visual,432
Johor,Overall,2019,visual,5057
Kedah,Baling,2019,visual,418
Kedah,Bandar Baharu,2019,visual,173
Kedah,Kota Setar,2019,visual,839
Kedah,Kuala Muda,2019,visual,1238
Kedah,Kubang Pasu,2019,visual,584
Kedah,Kulim,2019,visual,648
Kedah,Padang Terap,2019,visual,200
Kedah,Pendang,2019,visual,267
Kedah,Pokok Sena,2019,visual,109
Kedah,Pulau Langkawi,2019,visual,175
Kedah,Sik,2019,visual,234
Kedah,Yan,2019,visual,172
Kedah,Overall,2019,visual,5057
Kelantan,Jajahah Jeli,2019,visual,121
Kelantan,Bachok,2019,visual,288
Kelantan,Gua Musang,2019,visual,196
Kelantan,Kota Bharu,2019,visual,830
Kelantan,Kuala Krai,2019,visual,264
Kelantan,Machang,2019,visual,280
Kelantan,Pasir Mas,2019,visual,375
Kelantan,Pasir Puteh,2019,visual,311
Kelantan,Tanah Merah,2019,visual,291
Kelantan,Tumpat,2019,visual,438
Kelantan,Overall,2019,visual,3394
Melaka,Alor Gajah,2019,visual,465
Melaka,Jasin,2019,visual,392
Melaka,Melaka Tengah,2019,visual,1011
