State,Location,hour,value,date
PERLIS,Kangar,10:00AM,61**,2023-09-13
KEDAH,Langkawi,10:00AM,54**,2023-09-13
KEDAH,Alor Setar,10:00AM,59**,2023-09-13
KEDAH,Sungai Petani,10:00AM,58**,2023-09-13
KEDAH,Kulim Hi-Tech,10:00AM,53**,2023-09-13
PULAU PINANG,Seberang Jaya,10:00AM,63**,2023-09-13
PULAU PINANG,Seberang Perai,10:00AM,62**,2023-09-13
PULAU PINANG,Minden,10:00AM,61**,2023-09-13
PULAU PINANG,Balik Pulau,10:00AM,58**,2023-09-13
PERAK,Taiping,10:00AM,60**,2023-09-13
PERAK,Tasek Ipoh,10:00AM,58**,2023-09-13
PERAK,Pegoh Ipoh,10:00AM,53**,2023-09-13
PERAK,Seri Manjung,10:00AM,61**,2023-09-13
PERAK,Tanjung Malim,10:00AM,54**,2023-09-13
W.P. KUALA LUMPUR,Batu Muda,10:00AM,64**,2023-09-13
W.P. KUALA LUMPUR,Cheras,10:00AM,93**,2023-09-13
W.P. PUTRAJAYA,Putrajaya,10:00AM,91**,2023-09-13
SELANGOR,Kuala Selangor,10:00AM,79**,2023-09-13
SELANGOR,Petaling Jaya,10:00AM,69**,2023-09-13
SELANGOR,Shah Alam,10:00AM,82**,2023-09-13
SELANGOR,Klang,10:00AM,76**,2023-09-13
SELANGOR,Banting,10:00AM,71**,2023-09-13
NEGERI SEMBILAN,Nilai,10:00AM,79**,2023-09-13
NEGERI SEMBILAN,Seremban,10:00AM,75**,2023-09-13
NEGERI SEMBILAN,Port Dickson,10:00AM,68**,2023-09-13
MELAKA,Alor Gajah,10:00AM,66**,2023-09-13
MELAKA,Bukit Rambai,10:00AM,76**,2023-09-13
MELAKA,Bandaraya Melaka,10:00AM,71**,2023-09-13
JOHOR,Segamat,10:00AM,69**,2023-09-13
JOHOR,Batu Pahat,10:00AM,63**,2023-09-13
JOHOR,Kluang,10:00AM,68**,2023-09-13
JOHOR,Larkin,10:00AM,85**,2023-09-13
JOHOR,Pasir Gudang,10:00AM,92**,2023-09-13
JOHOR,Pengerang,10:00AM,65**,2023-09-13
JOHOR,Kota Tinggi,10:00AM,69**,2023-09-13
JOHOR,Tangkak,10:00AM,66**,2023-09-13
PAHANG,Rompin,10:00AM,51**,2023-09-13
PAHANG,Temerloh,10:00AM,64**,2023-09-13
PAHANG,Jerantut,10:00AM,56**,2023-09-13
PAHANG,Indera Mahkota Kuantan,10:00AM,72**,2023-09-13
PAHANG,Balok Baru Kuantan,10:00AM,64**,2023-09-13
TERENGGANU,Kemaman,10:00AM,62**,2023-09-13
TERENGGANU,Paka,10:00AM,61**,2023-09-13
TERENGGANU,Kuala Terengganu,10:00AM,56**,2023-09-13
TERENGGANU,Besut,10:00AM,34**,2023-09-13
KELANTAN,Tanah Merah,10:00AM,28**,2023-09-13
KELANTAN,Kota Bharu,10:00AM,48**,2023-09-13
SABAH,Tawau,10:00AM,35**,2023-09-13
SABAH,Sandakan,10:00AM,38**,2023-09-13
SABAH,Kota Kinabalu,10:00AM,31**,2023-09-13
SABAH,Kimanis,10:00AM,11**,2023-09-13
SABAH,Keningau,10:00AM,42**,2023-09-13
W.P. LABUAN,Labuan,10:00AM,29**,2023-09-13
SARAWAK,Limbang,10:00AM,30**,2023-09-13
SARAWAK,ILP Miri,10:00AM,28**,2023-09-13
SARAWAK,Miri,10:00AM,24**,2023-09-13
SARAWAK,Samalaju,10:00AM,56**,2023-09-13
SARAWAK,Bintulu,10:00AM,55**,2023-09-13
