Postcode,State,locality_address,state_new,post_office_new,location_new,point_address,lon,lat,state,district,parlimen,dun
01007,Perlis,"KANGAR - PETI SURAT, KANGAR, 01007 PERLIS, MALAYSIA",Perlis,Kangar,Kangar - Peti surat,"Kangar, Perlis",100.19427,6.44004,Perlis,Perlis,P.002 Kangar,N.08 Indera Kayangan
01009,Perlis,"KANGAR - BEG BERKUNCI, KANGAR, 01009 PERLIS, MALAYSIA",Perlis,Kangar,Kangar - Beg berkunci,"Jalan Kangar, Taman Temak Jaya, Seriab, Kangar, 01000, Perlis",100.184700739833,6.423744404629,Perlis,Perlis,P.002 Kangar,N.10 Kayang
01000,Perlis,"ALOR REDEH, KANGAR, 01000 PERLIS, MALAYSIA",Perlis,Kangar,Alor Redeh,01000,100.19665494,6.436263923,Perlis,Perlis,P.002 Kangar,N.08 Indera Kayangan
01000,Perlis,"ALOR TOK TERANG, KANGAR, 01000 PERLIS, MALAYSIA",Perlis,Kangar,Alor Redeh,01000,100.19665494,6.436263923,Perlis,Perlis,P.002 Kangar,N.08 Indera Kayangan
01000,Perlis,"BOHOR GELAM, KANGAR, 01000 PERLIS, MALAYSIA",Perlis,Kangar,Alor Redeh,01000,100.19665494,6.436263923,Perlis,Perlis,P.002 Kangar,N.08 Indera Kayangan
01000,Perlis,"JALAN ABI TOK HASHIM, KANGAR, 01000 PERLIS, MALAYSIA",Perlis,Kangar,Alor Redeh,"Jalan Abi Tok Hashim, Kechor, Kangar, 01000, Perlis",100.194835337328,6.460338583608,Perlis,Perlis,P.002 Kangar,N.06 Bintong
01000,Perlis,"JALAN ALOR SENA, KANGAR, 01000 PERLIS, MALAYSIA",Perlis,Kangar,Alor Redeh,"Jalan Alor Sena, Paya, Kangar, 01000, Perlis",100.231438314627,6.494456984748,Perlis,Perlis,P.001 Padang Besar,N.05 Santan
01000,Perlis,"JALAN ARAU, KANGAR, 01000 PERLIS, MALAYSIA",Perlis,Kangar,Alor Redeh,"Jalan Arau, Jejawi, Kangar, 02600, Perlis",100.237683306361,6.444760030792,Perlis,Perlis,P.003 Arau,N.12 Tambun Tulang
01000,Perlis,"JALAN BESAR KANGAR, KANGAR, 01000 PERLIS, MALAYSIA",Perlis,Kangar,Alor Redeh,"Jalan Kangar-Padang Besar, Sena, Kangar, 01000, Perlis",100.206048875238,6.451573658303,Perlis,Perlis,P.002 Kangar,N.07 Sena
01000,Perlis,"JALAN BOHOR GUNCAR, KANGAR, 01000 PERLIS, MALAYSIA",Perlis,Kangar,Alor Redeh,01000,100.19665494,6.436263923,Perlis,Perlis,P.002 Kangar,N.08 Indera Kayangan
