date,time,Coal,Gas,CoGen,Oil,Hydro,Solar
2024-07-01,00:00:00,8353,6316,7,0,561,0
2024-07-01,00:10:00,8341,6189,-3,0,546,0
2024-07-01,00:20:00,8328,6222,-1,0,401,0
2024-07-01,00:30:00,8336,6093,2,0,335,0
2024-07-01,00:40:00,8342,5967,3,0,329,0
2024-07-01,00:50:00,8339,5983,-5,0,320,0
2024-07-01,01:00:00,8230,5912,3,0,329,0
2024-07-01,01:10:00,8160,5858,10,0,324,0
2024-07-01,01:20:00,8152,5824,7,0,323,0
2024-07-01,01:30:00,8142,5752,-1,0,323,0
2024-07-01,01:40:00,8147,5601,0,0,323,0
2024-07-01,01:50:00,8150,5508,-4,0,318,0
2024-07-01,02:00:00,8150,5374,-3,0,274,0
2024-07-01,02:10:00,8159,5429,11,0,284,0
2024-07-01,02:20:00,8148,5393,11,0,277,0
2024-07-01,02:30:00,8152,5311,-3,0,281,0
2024-07-01,02:40:00,8129,5290,15,0,244,0
2024-07-01,02:50:00,8075,5258,3,0,244,0
2024-07-01,03:00:00,8063,5193,3,0,246,0
2024-07-01,03:10:00,8061,5155,18,0,245,0
2024-07-01,03:20:00,8078,5057,18,0,247,0
2024-07-01,03:30:00,8082,4916,15,0,243,0
2024-07-01,03:40:00,8077,4900,8,0,244,0
2024-07-01,03:50:00,8063,4893,17,0,261,0
2024-07-01,04:00:00,8071,4845,1,0,298,0
2024-07-01,04:10:00,8070,4764,3,0,275,0
2024-07-01,04:20:00,8065,4723,10,0,279,0
2024-07-01,04:30:00,8060,4697,-5,0,265,0
2024-07-01,04:40:00,8080,4703,0,0,266,0
2024-07-01,04:50:00,8071,4694,9,0,245,0
2024-07-01,05:00:00,8070,4680,12,0,245,0
2024-07-01,05:10:00,8072,4721,6,0,252,0
2024-07-01,05:20:00,8078,4719,12,0,283,0
2024-07-01,05:30:00,8067,4801,12,0,301,0
2024-07-01,05:40:00,8065,4850,3,0,267,0
2024-07-01,05:50:00,8079,4858,17,0,279,0
2024-07-01,06:00:00,8064,4999,17,0,299,0
2024-07-01,06:10:00,8075,5179,17,0,326,0
2024-07-01,06:20:00,8049,5270,19,0,329,0
2024-07-01,06:30:00,8071,5276,23,0,328,0
2024-07-01,06:40:00,8065,5337,20,0,324,0
2024-07-01,06:50:00,8053,5294,19,0,338,0
2024-07-01,07:00:00,8046,5293,20,0,344,0
2024-07-01,07:10:00,8064,5232,21,0,312,1
2024-07-01,07:20:00,8123,5225,23,0,287,5
2024-07-01,07:30:00,8136,5242,16,0,299,22
2024-07-01,07:40:00,8152,5241,17,0,327,40
2024-07-01,07:50:00,8183,5331,15,0,331,71
2024-07-01,08:00:00,8221,5329,6,0,551,102
2024-07-01,08:10:00,8328,5684,16,0,560,138
2024-07-01,08:20:00,8405,5714,9,0,581,164
2024-07-01,08:30:00,8436,5943,13,0,584,197
2024-07-01,08:40:00,8428,6085,5,0,582,235
2024-07-01,08:50:00,8425,6352,-1,0,562,265
2024-07-01,09:00:00,8437,6427,2,0,585,296
2024-07-01,09:10:00,8425,6594,-3,0,671,335
2024-07-01,09:20:00,8437,6652,-4,0,680,391
2024-07-01,09:30:00,8428,6647,-6,0,693,464
2024-07-01,09:40:00,8381,6739,-18,0,713,498
2024-07-01,09:50:00,8351,6791,-17,0,763,559
2024-07-01,10:00:00,8362,6790,-21,0,831,603
2024-07-01,10:10:00,8357,6844,-24,0,913,593
2024-07-01,10:20:00,8329,6705,-20,0,1028,647
2024-07-01,10:30:00,8299,6716,-11,0,1071,691
2024-07-01,10:40:00,8283,6733,-19,0,1145,718
2024-07-01,10:50:00,8270,6742,-18,0,1143,784
2024-07-01,11:00:00,8237,6677,-21,0,1120,912
2024-07-01,11:10:00,8242,6719,-22,0,1078,940
2024-07-01,11:20:00,8195,6784,-29,0,1079,909
2024-07-01,11:30:00,8192,6730,-33,0,1108,973
2024-07-01,11:40:00,8193,6790,-40,0,1054,1008
2024-07-01,11:50:00,8168,6787,-31,0,1018,1005
2024-07-01,12:00:00,8144,6591,-43,0,1041,1113
2024-07-01,12:10:00,8142,6483,-46,0,1060,1053
2024-07-01,12:20:00,8126,6456,-33,0,1052,1028
2024-07-01,12:30:00,8139,6359,-48,0,1060,1042
2024-07-01,12:40:00,8136,6316,-47,0,1060,1068
2024-07-01,12:50:00,8113,6387,-52,0,1063,1036
2024-07-01,13:00:00,8112,6388,-57,0,1062,1068
2024-07-01,13:10:00,8095,6518,-44,0,1061,1042
2024-07-01,13:20:00,8089,6522,-44,0,1239,1115
2024-07-01,13:30:00,8079,6659,-56,0,1191,1141
2024-07-01,13:40:00,8078,6753,-45,0,1261,1179
2024-07-01,13:50:00,8071,6837,-49,0,1265,1145
2024-07-01,14:00:00,8079,6929,-59,0,1261,1151
2024-07-01,14:10:00,8074,6985,-62,0,1360,1225
2024-07-01,14:20:00,8073,7041,-59,0,1373,1109
2024-07-01,14:30:00,8060,7154,-51,0,1422,1165
2024-07-01,14:40:00,8068,7287,-52,0,1334,1120
2024-07-01,14:50:00,8040,7386,-55,0,1347,1056
2024-07-01,15:00:00,8062,7185,-57,0,1358,1147
2024-07-01,15:10:00,8057,7227,-66,0,1417,1100
2024-07-01,15:20:00,8068,7276,-55,0,1442,1028
2024-07-01,15:30:00,8069,7359,-62,0,1452,1018
2024-07-01,15:40:00,8066,7424,-54,0,1552,1007
2024-07-01,15:50:00,8068,7478,-61,0,1612,908
2024-07-01,16:00:00,8054,7642,-68,0,1715,852
2024-07-01,16:10:00,8063,7593,-66,0,1691,948
2024-07-01,16:20:00,8068,7704,-76,0,1772,845
2024-07-01,16:30:00,8057,7744,-63,0,1775,772
2024-07-01,16:40:00,8061,7779,-59,0,1791,691
2024-07-01,16:50:00,8069,7788,-71,0,1789,671
2024-07-01,17:00:00,8061,7803,-67,0,1812,524
2024-07-01,17:10:00,8055,7718,-64,0,1747,448
2024-07-01,17:20:00,8054,7681,-72,0,1733,389
2024-07-01,17:30:00,8062,7662,-61,0,1662,347
2024-07-01,17:40:00,8057,7447,-55,0,1649,313
2024-07-01,17:50:00,8072,7327,-54,0,1636,285
2024-07-01,18:00:00,8064,7238,-57,0,1680,223
2024-07-01,18:10:00,8056,7116,-41,0,1604,207
2024-07-01,18:20:00,8059,7179,-39,0,1593,189
2024-07-01,18:30:00,8061,7209,-55,0,1566,154
2024-07-01,18:40:00,8055,7281,-37,0,1570,121
2024-07-01,18:50:00,8060,7441,-33,0,1572,95
2024-07-01,19:00:00,8061,7515,-38,0,1570,62
2024-07-01,19:10:00,8057,7780,-46,0,1746,36
2024-07-01,19:20:00,8067,8124,-43,0,1602,14
2024-07-01,19:30:00,8056,8390,-48,0,1668,2
2024-07-01,19:40:00,8052,8397,-40,0,1929,1
2024-07-01,19:50:00,8059,8571,-36,0,1989,1
2024-07-01,20:00:00,8045,8603,-34,0,1995,0
2024-07-01,20:10:00,8061,8649,-48,0,1984,0
2024-07-01,20:20:00,8052,8675,-32,0,1993,0
2024-07-01,20:30:00,8062,8625,-37,0,1992,0
2024-07-01,20:40:00,8064,8647,-34,0,1994,0
2024-07-01,20:50:00,8050,8640,-43,0,1996,0
2024-07-01,21:00:00,8078,8611,-40,0,1987,0
2024-07-01,21:10:00,8057,8594,-30,0,1962,0
2024-07-01,21:20:00,8058,8437,-32,0,1983,0
2024-07-01,21:30:00,8050,8360,-28,0,1979,0
2024-07-01,21:40:00,8066,8278,-31,0,1974,0
2024-07-01,21:50:00,8051,8205,-37,0,1970,0
2024-07-01,22:00:00,8050,8192,-27,0,1904,0
2024-07-01,22:10:00,8059,8258,-26,0,1728,0
2024-07-01,22:20:00,8054,8248,-34,0,1777,0
2024-07-01,22:30:00,8073,8201,-18,0,1704,0
2024-07-01,22:40:00,8059,8162,-14,0,1759,0
2024-07-01,22:50:00,8049,8127,-26,0,1806,0
2024-07-01,23:00:00,8048,8125,-32,0,1698,0
2024-07-01,23:10:00,8063,8056,-20,0,1543,0
2024-07-01,23:20:00,8085,8002,-25,0,1458,0
2024-07-01,23:30:00,8106,7942,-31,0,1417,0
2024-07-01,23:40:00,8143,7842,-27,0,1365,0
2024-07-01,23:50:00,8152,7639,-27,0,1373,0
2024-07-02,00:00:00,8190,7424,-24,0,1258,0
2024-07-02,00:10:00,8205,7347,-31,0,1226,0
2024-07-02,00:20:00,8217,7216,-16,0,1227,0
2024-07-02,00:30:00,8252,7121,-13,0,1229,0
2024-07-02,00:40:00,8267,7051,-25,0,1167,0
2024-07-02,00:50:00,8285,6957,-16,0,1055,0
2024-07-02,01:00:00,8254,6944,-14,0,1402,0
2024-07-02,01:10:00,8270,7064,-31,0,1008,0
2024-07-02,01:20:00,8258,6912,-22,0,900,0
2024-07-02,01:30:00,8271,6805,-20,0,762,0
2024-07-02,01:40:00,8262,6757,-21,0,764,0
2024-07-02,01:50:00,8271,6727,-26,0,765,0
2024-07-02,02:00:00,8265,6680,-26,0,680,0
2024-07-02,02:10:00,8258,6648,-33,0,659,0
2024-07-02,02:20:00,8253,6571,-32,0,657,0
2024-07-02,02:30:00,8283,6481,-22,0,657,0
2024-07-02,02:40:00,8265,6424,-21,0,659,0
2024-07-02,02:50:00,8286,6323,-27,0,639,0
2024-07-02,03:00:00,8299,6192,-17,0,621,0
2024-07-02,03:10:00,8279,6179,-31,0,621,0
2024-07-02,03:20:00,8250,6066,-22,0,621,0
2024-07-02,03:30:00,8273,6002,-14,0,619,0
2024-07-02,03:40:00,8297,5945,-20,0,621,0
2024-07-02,03:50:00,8312,5895,-33,0,621,0
2024-07-02,04:00:00,8323,5789,-32,0,620,0
2024-07-02,04:10:00,8346,5655,-22,0,620,0
2024-07-02,04:20:00,8326,5752,-33,0,619,0
2024-07-02,04:30:00,8333,5550,-20,0,594,0
2024-07-02,04:40:00,8326,5591,-23,0,618,0
2024-07-02,04:50:00,8329,5557,-30,0,594,0
2024-07-02,05:00:00,8331,5496,-18,0,622,0
2024-07-02,05:10:00,8336,5524,-18,0,622,0
2024-07-02,05:20:00,8334,5524,-24,0,610,0
2024-07-02,05:30:00,8336,5553,-21,0,598,0
2024-07-02,05:40:00,8326,5626,-20,0,559,0
2024-07-02,05:50:00,8340,5820,-14,0,548,0
2024-07-02,06:00:00,8332,5810,-9,0,562,0
2024-07-02,06:10:00,8348,5993,-20,0,566,0
2024-07-02,06:20:00,8349,6048,-8,0,566,0
2024-07-02,06:30:00,8336,6009,-9,0,547,0
2024-07-02,06:40:00,8342,6056,-20,0,547,0
2024-07-02,06:50:00,8327,6076,-24,0,568,0
2024-07-02,07:00:00,8336,6004,-14,0,568,1
2024-07-02,07:10:00,8345,5787,-22,0,601,3
2024-07-02,07:20:00,8335,5723,-21,0,601,11
2024-07-02,07:30:00,8347,5565,-24,0,599,24
2024-07-02,07:40:00,8343,5670,-31,0,598,57
2024-07-02,07:50:00,8336,5723,-33,0,604,97
2024-07-02,08:00:00,8348,5912,-19,0,629,161
2024-07-02,08:10:00,8401,6286,-39,0,631,199
2024-07-02,08:20:00,8417,6442,-41,0,680,265
2024-07-02,08:30:00,8415,6517,-44,0,765,333
2024-07-02,08:40:00,8449,6644,-43,0,762,378
2024-07-02,08:50:00,8511,6731,-42,0,726,423
2024-07-02,09:00:00,8611,6714,-39,0,791,503
2024-07-02,09:10:00,8656,6868,-38,0,806,524
2024-07-02,09:20:00,8693,6828,-44,0,865,610
2024-07-02,09:30:00,8745,6752,-41,0,862,692
2024-07-02,09:40:00,8748,6757,-54,0,867,751
2024-07-02,09:50:00,8748,6758,-52,0,903,783
2024-07-02,10:00:00,8746,6749,-50,0,903,796
2024-07-02,10:10:00,8747,6824,-36,0,928,891
2024-07-02,10:20:00,8753,6830,-41,0,925,900
2024-07-02,10:30:00,8745,6888,-46,0,889,941
