date,time,Coal,Gas,CoGen,Oil,Hydro,Solar
2022-12-16,00:00:00,7588,5980,23,0,543,0
2022-12-16,00:10:00,7238,5920,22,0,626,0
2022-12-16,00:20:00,7073,6063,23,0,636,0
2022-12-16,00:30:00,6941,6084,28,0,631,0
2022-12-16,00:40:00,6768,5705,26,377,663,0
2022-12-16,00:50:00,6763,5697,30,374,606,0
2022-12-16,01:00:00,6775,5633,28,374,594,0
2022-12-16,01:10:00,6812,5545,28,374,593,0
2022-12-16,01:20:00,6697,5427,28,538,526,0
2022-12-16,01:30:00,6602,5432,28,551,530,0
2022-12-16,01:40:00,6536,5419,26,549,529,0
2022-12-16,01:50:00,6509,5416,29,549,529,0
2022-12-16,02:00:00,6414,5428,26,549,530,0
2022-12-16,02:10:00,6345,5482,28,549,531,0
2022-12-16,02:20:00,6271,5480,31,550,532,0
2022-12-16,02:30:00,6230,5434,27,547,535,0
2022-12-16,02:40:00,6185,5447,27,547,535,0
2022-12-16,02:50:00,6182,5405,31,550,533,0
2022-12-16,03:00:00,6089,5386,26,552,531,0
2022-12-16,03:10:00,6121,5447,28,437,534,0
2022-12-16,03:20:00,6099,5471,28,402,531,0
2022-12-16,03:30:00,6114,5451,27,400,530,0
2022-12-16,03:40:00,6107,5390,26,400,528,0
2022-12-16,03:50:00,6105,5378,28,376,530,0
2022-12-16,04:00:00,6094,5367,30,237,531,0
2022-12-16,04:10:00,6005,5395,23,141,716,0
2022-12-16,04:20:00,5661,5552,21,100,945,0
2022-12-16,04:30:00,5621,5615,25,91,973,0
2022-12-16,04:40:00,5607,5707,25,90,818,0
2022-12-16,04:50:00,5637,5697,26,91,803,0
2022-12-16,05:00:00,5759,5646,25,90,709,0
2022-12-16,05:10:00,5900,5567,26,92,634,0
2022-12-16,05:20:00,5577,5578,28,154,925,0
2022-12-16,05:30:00,5373,5835,21,123,1022,0
2022-12-16,05:40:00,5620,5789,23,0,1019,0
2022-12-16,05:50:00,5816,5741,27,0,873,0
2022-12-16,06:00:00,5995,5731,23,0,722,0
2022-12-16,06:10:00,6170,5783,23,0,692,0
2022-12-16,06:20:00,6297,5683,24,0,573,0
2022-12-16,06:30:00,6373,5617,26,0,570,0
2022-12-16,06:40:00,6463,5594,23,0,568,0
2022-12-16,06:50:00,6498,5560,28,0,509,0
2022-12-16,07:00:00,6625,5418,27,0,508,0
2022-12-16,07:10:00,6874,5605,29,0,513,0
2022-12-16,07:20:00,7015,5408,31,0,524,1
2022-12-16,07:30:00,6935,5388,29,0,448,7
2022-12-16,07:40:00,7032,5331,25,0,538,18
2022-12-16,07:50:00,7007,5538,29,0,519,50
2022-12-16,08:00:00,7022,5591,29,0,518,86
2022-12-16,08:10:00,7024,5659,29,0,745,118
2022-12-16,08:20:00,7015,5937,27,0,768,141
2022-12-16,08:30:00,7017,6026,23,0,792,182
2022-12-16,08:40:00,7157,5969,25,0,915,200
2022-12-16,08:50:00,7332,6031,25,0,920,235
2022-12-16,09:00:00,7421,5978,24,0,938,278
2022-12-16,09:10:00,7490,6094,24,0,965,313
2022-12-16,09:20:00,7502,6157,26,0,968,362
2022-12-16,09:30:00,7530,6056,23,0,1010,441
2022-12-16,09:40:00,7547,6105,22,0,1056,453
2022-12-16,09:50:00,7567,6059,25,0,1160,513
2022-12-16,10:00:00,7543,6086,21,0,1212,567
2022-12-16,10:10:00,7834,5811,15,0,1370,599
2022-12-16,10:20:00,7884,5746,19,0,1329,626
2022-12-16,10:30:00,7926,5760,18,0,1319,719
2022-12-16,10:40:00,7961,5797,21,0,1321,688
2022-12-16,10:50:00,8015,5746,20,0,1315,726
2022-12-16,11:00:00,8048,5773,22,0,1261,746
2022-12-16,11:10:00,8076,5799,22,0,1275,795
2022-12-16,11:20:00,8111,5829,21,0,1253,810
2022-12-16,11:30:00,8122,5873,20,0,1227,798
