district_mukim,sample_size,avg_landsm,avg_floorsm,price_2021,price_2022,avg_pricePerct,location,types,source
Salak South Low Cost Housing,1.0,102.19,81.75,,200000,ND,Mukim Kuala Lumpur,SINGLE STOREY LOW - COST TERRACE,2022/WP KL
Bandar Baru Sri Petaling,1.0,143.0,86.405,,610000,ND,Mukim Petaling,SINGLE STOREY LOW - COST TERRACE,2022/WP KL
Kepong Baru,1.0,132.847,107.30000000000001,,530000,ND,Mukim Batu,SINGLE STOREY MEDIUM - LOW COST TERRACE,2022/WP KL
Taman Sri Segambut,1.0,136.56,96.575,,485000,ND,Mukim Batu,SINGLE STOREY MEDIUM - LOW COST TERRACE,2022/WP KL
Wangsa Melawati,1.0,108.0,107.95,,630000,ND,Mukim Hulu Kelang,SINGLE STOREY MEDIUM - LOW COST TERRACE,2022/WP KL
Salak South Garden,1.0,143.0,86.86,,560000,ND,Mukim Petaling,SINGLE STOREY MEDIUM - LOW COST TERRACE,2022/WP KL
Million Garden,1.0,124.114,83.60999999999999,,700000,ND,SINGLE STOREY TERRACE,SINGLE STOREY TERRACE,2022/WP KL
Taman Golden,1.0,139.35,104.795,,447000,ND,SINGLE STOREY TERRACE,SINGLE STOREY TERRACE,2022/WP KL
Ipoh Road Garden,1.0,134.0,100.905,,450000,ND,Mukim Batu,SINGLE STOREY TERRACE,2022/WP KL
Kepong Baru,19.0,140.37952631578946,103.08521052631579,490000 - 830000,500000 - 778000,Stable,Mukim Batu,SINGLE STOREY TERRACE,2022/WP KL
Kepong Garden,3.0,142.66666666666666,101.36166666666668,540000 - 700000,570000 - 595000,-8.491620111731848,Mukim Batu,SINGLE STOREY TERRACE,2022/WP KL
Taman Desa Bakti ,2.0,139.0,69.0,395000 - 470000,350000 - 425000,-9,Mukim Batu,SINGLE STOREY TERRACE,2022/WP KL
Taman Bukit Maluri,6.0,164.83333333333334,105.54549999999999,680000 - 750000,650000 - 860000,4.362880886426593,Mukim Batu,SINGLE STOREY TERRACE,2022/WP KL
Taman Kok Doh,2.0,132.8485,90.8,580000 - 825000,580000 - 700000,-4.714640198511161,Mukim Batu,SINGLE STOREY TERRACE,2022/WP KL
Taman Rainbow,1.0,189.0,133.895,800000,740000,-7.5,Mukim Batu,SINGLE STOREY TERRACE,2022/WP KL
Taman Sri Delima (PKNS Housing Scheme),2.0,153.192,91.42500000000001,550000 - 560000,540000 - 551000,Stable,Mukim Batu,SINGLE STOREY TERRACE,2022/WP KL
Taman Sri Segambut,4.0,136.78075,94.01374999999999,440000 - 690000,470000 - 600000,-3.9835655591282606,Mukim Batu,SINGLE STOREY TERRACE,2022/WP KL
Taman Lembah Keramat,1.0,140.0,133.5,535000,550000,2.803738317757009,Mukim Hulu Kelang,SINGLE STOREY TERRACE,2022/WP KL
Bukit Anggerik,1.0,153.0,113.435,460000,495000,7.608695652173914,Mukim Cheras,SINGLE STOREY TERRACE,2022/WP KL
Taman Bukit Cheras,5.0,143.6,81.671,420000 - 500000,453000 - 550000,10.043478260869565,Mukim Cheras,SINGLE STOREY TERRACE,2022/WP KL
Bandar Tun Abd Razak (Kampung Konggo),2.0,149.0,76.085,498000,400000 - 450000,-14.65863453815261,Mukim Kuala Lumpur,SINGLE STOREY TERRACE,2022/WP KL
Bandaraya Petaling,1.0,173.73,121.60000000000001,,1168000,ND,Mukim Kuala Lumpur,SINGLE STOREY TERRACE,2022/WP KL
Bangsar Baru,2.0,173.723,109.81049999999999,1400000,1000000 - 2185000,13.750000000000002,Mukim Kuala Lumpur,SINGLE STOREY TERRACE,2022/WP KL
Bangsar Park,3.0,173.76666666666665,106.97333333333334,1150000 - 1230000,1200000 - 1420000,10.014104372355423,Mukim Kuala Lumpur,SINGLE STOREY TERRACE,2022/WP KL
Lucky Garden  (Jalan Bangsar),1.0,163.0,120.0,1060000 - 1405000,1300000,8.1,Mukim Kuala Lumpur,SINGLE STOREY TERRACE,2022/WP KL
Taynton View,5.0,154.0,124.36699999999999,500000 - 650000,500000 - 620000,Stable,Mukim Kuala Lumpur,SINGLE STOREY TERRACE,2022/WP KL
Taman Cheras (Yulek Heights),2.0,138.8835,96.0175,420000 - 648000,500000 - 600000,4.562737642585551,Mukim Kuala Lumpur,SINGLE STOREY TERRACE,2022/WP KL
Taman Midah,5.0,143.2,106.11800000000001,500000 - 680000,540000 - 675000,2.8813559322033897,Mukim Kuala Lumpur,SINGLE STOREY TERRACE,2022/WP KL
Taman Tun Dr Ismail,5.0,175.3008,114.94000000000001,920000 - 1300000,1150000 - 1238000,7.676938047356464,Mukim Kuala Lumpur,SINGLE STOREY TERRACE,2022/WP KL
Bandar Baru Sri Petaling,3.0,186.0,98.205,499000 - 995000,640000 - 760000,5,Mukim  Petaling,SINGLE STOREY TERRACE,2022/WP KL
Happy Garden,17.0,146.0,105.0,486000 - 730000,545000 - 680000,-3.1,Mukim  Petaling,SINGLE STOREY TERRACE,2022/WP KL
Overseas Union Garden,3.0,149.0,106.66833333333334,518000 - 665000,632000 - 668000,6.9,Mukim  Petaling,SINGLE STOREY TERRACE,2022/WP KL
Salak South Garden,2.0,143.535,102.265,470000 - 650000,538000 - 570000,3.2,Mukim  Petaling,SINGLE STOREY TERRACE,2022/WP KL
Taman Desa Cheras,1.0,153.28,84.725,,440000,ND,Mukim  Petaling,SINGLE STOREY TERRACE,2022/WP KL
Taman Tan Yew Lai,2.0,122.5,87.66999999999999,400000 - 550000,430000 - 545000,3.1624735480837045,Mukim  Petaling,SINGLE STOREY TERRACE,2022/WP KL
Taman Yarl,1.0,223.0,129.35,,650000,ND,Mukim  Petaling,SINGLE STOREY TERRACE,2022/WP KL
Danau Kota,1.0,164.0,96.39000000000001,645000,650000,Stable,Mukim Setapak,SINGLE STOREY TERRACE,2022/WP KL
Taman Bunga Raya,6.0,125.5,89.0675,490000 - 600000,448000 - 600000,Stable,Mukim Setapak,SINGLE STOREY TERRACE,2022/WP KL
Taman Ibu Kota,1.0,143.066,98.095,,570000,ND,Mukim Setapak,SINGLE STOREY TERRACE,2022/WP KL
Taman Setapak (Setapak Garden),6.0,150.18233333333333,120.8975,500000 - 650000,540000 - 610000,Stable,Mukim Setapak,SINGLE STOREY TERRACE,2022/WP KL
