district_mukim,avg_floorsm,rental_2021,rental_2022,location,types,source
Taman Maluri,75.0,1200 - 1600,1200 - 1600,Mukim Ampang,SINGLE STOREY TERRACE,2022/WP KL
Bangsar Park,129.0,2300 - 2500,2300 - 2500,Mukim Kuala Lumpur,SINGLE STOREY TERRACE,2022/WP KL
Cheras Heights Condominium (Bukit Cheras),200.0,,1800,Mukim Kuala Lumpur,SINGLE STOREY TERRACE,2022/WP KL
Lucky Garden,110.0,2800 - 3000,2800 - 3000,Mukim Kuala Lumpur,SINGLE STOREY TERRACE,2022/WP KL
Taman Desa Bakti,84.17,1200,1200,Mukim Kuala Lumpur,SINGLE STOREY TERRACE,2022/WP KL
Taman Tun Dr. Ismail,95.0,1900 - 2000,1900 - 2000,Mukim Kuala Lumpur,SINGLE STOREY TERRACE,2022/WP KL
,111.0,2400,2400,Mukim Kuala Lumpur,SINGLE STOREY TERRACE,2022/WP KL
Tanynton View,112.0,1800,1800,Mukim Kuala Lumpur,SINGLE STOREY TERRACE,2022/WP KL
Taman Bukit Maluri,100.0,,3000,Mukim Kuala Lumpur,SINGLE STOREY TERRACE,2022/WP KL
Shanghai Garden,163.0,1900,1900,Mukim Kuala Lumpur,SINGLE STOREY TERRACE,2022/WP KL
Kepong Baru,100.0,1200 - 1500,1200 - 1500,Mukim Batu,SINGLE STOREY TERRACE,2022/WP KL
,101.0,1000 - 1800,1000 - 1800,Mukim Batu,SINGLE STOREY TERRACE,2022/WP KL
Taman Bukit Maluri,109.0,1400 - 1700,1400 - 1700,Mukim Batu,SINGLE STOREY TERRACE,2022/WP KL
Taman Sri Segambut,90.0,1050 - 1600,1050 - 1600,Mukim Batu,SINGLE STOREY TERRACE,2022/WP KL
Taman Sri Sinar,80.0,1100,1000,Mukim Batu,SINGLE STOREY TERRACE,2022/WP KL
Bandar Baru Sri Petaling,91.0,750 - 1200,750 - 1200,Mukim Petaling,SINGLE STOREY TERRACE,2022/WP KL
Happy Garden,92.0,1300 - 1950,1300 - 1950,Mukim Petaling,SINGLE STOREY TERRACE,2022/WP KL
Taman Tan Yew Lai,90.0,1250,1250,Mukim Petaling,SINGLE STOREY TERRACE,2022/WP KL
Taman Yarl,101.0,1200,1200,Mukim Petaling,SINGLE STOREY TERRACE,2022/WP KL
Taman Bunga Raya,88.0,1600,1600,Mukim Setapak,SINGLE STOREY TERRACE,2022/WP KL
Taman Sentul Jaya,100.0,1300,1300,Mukim Setapak,SINGLE STOREY TERRACE,2022/WP KL
Bandar Manjalara,82.0,1100 - 1500,1100 - 1500,Mukim Batu,DOUBLE STOREY MEDIUM COST TERRACE,2022/WP KL
Taman Segambut Damai,85.0,800 - 825,800 - 825,Mukim Batu,DOUBLE STOREY MEDIUM COST TERRACE,2022/WP KL
Taman Sri Sinar,110.0,1000 - 1300,1000 - 1300,Mukim Batu,DOUBLE STOREY MEDIUM COST TERRACE,2022/WP KL
Bandar Baru Sri Petaling,78.0,,1000 - 1200,Mukim Petaling,DOUBLE STOREY MEDIUM COST TERRACE,2022/WP KL
Desa Setapak,88.0,,1100,Mukim Setapak,DOUBLE STOREY MEDIUM COST TERRACE,2022/WP KL
