date,time,state,city,latitude,longitude,temperature_2m,relativehumidity_2m,rain,windspeed_10m,weathercode,description
2024-08-28,09:00:00,Pahang,Kuantan,3.8167,103.3333,26.4,86,0.0,11.3,3,Clouds generally forming or developing
2024-08-28,09:00:00,Johor,Johor Bahru,1.4556,103.7611,26.4,89,0.0,2.6,3,Clouds generally forming or developing
2024-08-28,09:00:00,Sabah,Tawau,4.2448,117.8911,27.4,86,0.0,6.1,3,Clouds generally forming or developing
2024-08-28,09:00:00,Perak,Taiping,4.85,100.7333,25.8,84,0.0,7.2,3,Clouds generally forming or developing
2024-08-28,09:00:00,Labuan,Labuan,5.2803,115.2475,28.5,81,0.0,6.9,3,Clouds generally forming or developing
2024-08-28,09:00:00,Sabah,Lahad Datu,5.03,118.34,28.0,84,0.0,6.5,3,Clouds generally forming or developing
2024-08-28,09:00:00,Pulau Pinang,George Town,5.4145,100.3292,26.5,82,0.0,3.1,3,Clouds generally forming or developing
2024-08-28,09:00:00,Selangor,Klang,3.0333,101.45,25.4,85,0.0,3.1,3,Clouds generally forming or developing
2024-08-28,09:00:00,Perak,Teluk Intan,4.0259,101.0213,25.0,91,0.0,2.9,3,Clouds generally forming or developing
2024-08-28,09:00:00,Sabah,Sandakan,5.8388,118.1173,28.1,82,0.0,8.8,2,State of sky on the whole unchanged
2024-08-28,09:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,25.2,92,0.0,5.0,3,Clouds generally forming or developing
2024-08-28,09:00:00,Selangor,Petaling Jaya,3.1073,101.6067,25.2,84,0.0,3.2,3,Clouds generally forming or developing
2024-08-28,09:00:00,Sarawak,Sibu,2.3,111.8167,26.6,90,0.0,6.2,3,Clouds generally forming or developing
2024-08-28,09:00:00,Selangor,Shah Alam,3.0833,101.5333,25.2,84,0.0,3.2,3,Clouds generally forming or developing
2024-08-28,09:00:00,Sarawak,Kuching,1.5397,110.3542,26.6,88,0.0,7.2,3,Clouds generally forming or developing
2024-08-28,09:00:00,Putrajaya,Putrajaya,2.93,101.69,24.9,88,0.0,0.8,3,Clouds generally forming or developing
2024-08-28,09:00:00,Pahang,Raub,3.7931,101.8569,25.2,83,0.0,3.2,3,Clouds generally forming or developing
2024-08-28,09:00:00,Sarawak,Miri,4.4028,113.9933,28.0,86,0.0,8.1,3,Clouds generally forming or developing
2024-08-28,09:00:00,Kedah,Alor Setar,6.1167,100.3667,25.9,87,0.0,6.1,3,Clouds generally forming or developing
2024-08-28,09:00:00,Terengganu,Cukai,4.2332,103.4479,26.7,85,0.0,8.4,3,Clouds generally forming or developing
2024-08-28,09:00:00,Perlis,Kangar,6.4333,100.2,25.8,92,0.0,7.9,3,Clouds generally forming or developing
2024-08-28,09:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,26.3,91,0.0,1.1,3,Clouds generally forming or developing
2024-08-28,09:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,25.8,78,0.0,1.9,3,Clouds generally forming or developing
