weathercode,description,time,temperature_2m,relativehumidity_2m,rain,windspeed_10m,state,city,latitude,longitude,date
1,Clouds generally dissolving or becoming less developed,07:00:00,25.2,86,0.0,13.9,Kedah,Alor Setar,6.1167,100.3667,2026-02-06
80,"Rain shower(s), slight",07:00:00,25.6,88,0.0,8.2,Labuan,Labuan,5.2803,115.2475,2026-02-06
3,Clouds generally forming or developing,07:00:00,24.0,94,0.0,2.3,Sarawak,Kuching,1.5397,110.3542,2026-02-06
80,"Rain shower(s), slight",07:00:00,25.5,89,0.0,7.1,Sarawak,Miri,4.4028,113.9933,2026-02-06
3,Clouds generally forming or developing,07:00:00,25.0,93,0.0,4.7,Sabah,Kota Kinabalu,5.975,116.0725,2026-02-06
80,"Rain shower(s), slight",07:00:00,24.7,96,0.0,3.7,Selangor,Shah Alam,3.0833,101.5333,2026-02-06
1,Clouds generally dissolving or becoming less developed,07:00:00,24.8,85,0.0,2.7,Kedah,Sungai Petani,5.65,100.48,2026-02-06
3,Clouds generally forming or developing,07:00:00,23.4,94,0.0,3.3,Johor,Kluang,2.0336,103.3194,2026-02-06
3,Clouds generally forming or developing,07:00:00,25.3,89,0.0,9.1,Sabah,Sandakan,5.8388,118.1173,2026-02-06
3,Clouds generally forming or developing,07:00:00,27.0,88,0.0,2.3,Perak,Taiping,4.85,100.7333,2026-02-06
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",07:00:00,20.6,100,0.0,2.6,Pahang,Raub,3.7931,101.8569,2026-02-06
2,State of sky on the whole unchanged,07:00:00,26.5,85,0.0,5.2,Pulau Pinang,Butterworth,5.3992,100.3639,2026-02-06
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",07:00:00,21.6,98,0.0,2.6,Terengganu,Kuala Terengganu,5.3303,103.1408,2026-02-06
3,Clouds generally forming or developing,07:00:00,25.0,86,0.0,12.6,Melaka,Melaka,2.1889,102.2511,2026-02-06
3,Clouds generally forming or developing,07:00:00,24.4,89,0.0,3.1,Johor,Johor Bahru,1.4556,103.7611,2026-02-06
3,Clouds generally forming or developing,07:00:00,24.2,92,0.0,4.8,Johor,Batu Pahat,1.85,102.93,2026-02-06
80,"Rain shower(s), slight",07:00:00,23.6,95,0.0,1.6,Pahang,Kuala Lipis,4.184,102.042,2026-02-06
80,"Rain shower(s), slight",07:00:00,24.7,91,0.0,5.8,Perak,Teluk Intan,4.0259,101.0213,2026-02-06
3,Clouds generally forming or developing,07:00:00,22.3,95,0.0,2.5,Kelantan,Kota Bharu,6.1333,102.25,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",07:00:00,25.3,89,0.0,3.4,Selangor,Klang,3.0333,101.45,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",07:00:00,26.2,88,0.0,8.8,Sarawak,Bintulu,3.17,113.03,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",07:00:00,24.6,94,0.0,2.4,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,2026-02-06
3,Clouds generally forming or developing,07:00:00,25.3,86,0.0,10.8,Johor,Muar,2.05,102.56,2026-02-06
0,Cloud development not observed or not observable,07:00:00,25.7,81,0.0,8.9,Perlis,Kangar,6.4333,100.2,2026-02-06
2,State of sky on the whole unchanged,07:00:00,22.4,96,0.0,3.3,Pahang,Kuantan,3.8167,103.3333,2026-02-06
3,Clouds generally forming or developing,07:00:00,26.2,82,0.0,5.8,Sabah,Tawau,4.2448,117.8911,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",07:00:00,24.3,94,0.0,2.4,Selangor,Petaling Jaya,3.1073,101.6067,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",07:00:00,24.3,94,0.0,0.7,Putrajaya,Putrajaya,2.93,101.69,2026-02-06
2,State of sky on the whole unchanged,07:00:00,26.4,85,0.0,5.2,Pulau Pinang,George Town,5.4145,100.3292,2026-02-06
3,Clouds generally forming or developing,07:00:00,24.0,91,0.0,5.8,Sabah,Lahad Datu,5.03,118.34,2026-02-06
2,State of sky on the whole unchanged,07:00:00,26.2,85,0.0,5.2,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",07:00:00,23.9,89,0.0,1.9,Negeri Sembilan,Seremban,2.7297,101.9381,2026-02-06
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",06:00:00,21.9,98,0.0,2.7,Terengganu,Kuala Terengganu,5.3303,103.1408,2026-02-06
3,Clouds generally forming or developing,06:00:00,24.4,89,0.0,3.7,Johor,Johor Bahru,1.4556,103.7611,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",06:00:00,26.3,88,0.0,7.4,Sarawak,Bintulu,3.17,113.03,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",06:00:00,24.5,93,0.0,1.1,Putrajaya,Putrajaya,2.93,101.69,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",06:00:00,24.9,91,0.0,7.0,Perak,Teluk Intan,4.0259,101.0213,2026-02-06
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",06:00:00,20.8,99,0.0,1.3,Pahang,Raub,3.7931,101.8569,2026-02-06
3,Clouds generally forming or developing,06:00:00,23.7,92,0.0,5.0,Sabah,Lahad Datu,5.03,118.34,2026-02-06
3,Clouds generally forming or developing,06:00:00,24.3,92,0.0,5.8,Johor,Batu Pahat,1.85,102.93,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",06:00:00,24.8,94,0.0,2.6,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,2026-02-06
2,State of sky on the whole unchanged,06:00:00,25.3,85,0.0,12.8,Johor,Muar,2.05,102.56,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",06:00:00,24.0,88,0.0,2.3,Negeri Sembilan,Seremban,2.7297,101.9381,2026-02-06
2,State of sky on the whole unchanged,06:00:00,25.3,82,0.0,3.1,Kedah,Sungai Petani,5.65,100.48,2026-02-06
80,"Rain shower(s), slight",06:00:00,25.0,86,0.0,14.8,Melaka,Melaka,2.1889,102.2511,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",06:00:00,24.8,95,0.0,2.7,Selangor,Shah Alam,3.0833,101.5333,2026-02-06
3,Clouds generally forming or developing,06:00:00,23.7,93,0.0,3.7,Johor,Kluang,2.0336,103.3194,2026-02-06
80,"Rain shower(s), slight",06:00:00,27.1,86,0.0,3.0,Perak,Taiping,4.85,100.7333,2026-02-06
3,Clouds generally forming or developing,06:00:00,26.9,84,0.0,4.3,Pulau Pinang,Butterworth,5.3992,100.3639,2026-02-06
