Bil,Nombor Pendafataran (lama),Nama Pertubuhan,Alamat,DOSM Negeri,Tarikh Permohonan,PIC dan alamat,Maklum balas dari MPRC,Maklum balas dari PETRONAS,RegistrationNumber
2,1346667D,LINKMET INSTRUMENT SDN. BHD.,"SUITE 801 (8TH FLOOR),MERLIN TOWER, JALAN MELDRUM,80000 JOHOR BAHRU, JOHOR",JOHOR,15 Ogos 2024,,,,201901037337
3,1390150U,INSERGE SDN. BHD.,"NO. 28, HORIZON AVENUE COMMERCIAL CENTRE JALAN HORIZON PERDANA 5, 79100 ISKANDAR PUTERI, JOHOR",JOHOR,15 Ogos 2024,,,,202001033829
6,JM0670109U,IMAN RESOURCES,"NO 20G, BLOCK F, JALAN PULAI JAYA 1/3 BANDAR PULAI JAYA, 81300 JOHOR BAHRU, JOHOR",JOHOR,15 Ogos 2024,,,,201303272237
8,1135839D,PROCEANIC ENGINEERING MALAYSIA SDN. BHD.,"AUSTIN 18 #21-18, JALAN AUSTIN PERDANA 3,, 81100 JOHOR BHARU, JOHOR",JOHOR,15 Ogos 2024,,,,201501010504
9,1126364D,LOAD PRO SDN. BHD.,"17 JLN MANGGA 7 TMN KOTA MASAI, 81700 MASAI, JOHOR",JOHOR,15 Ogos 2024,,,,201501001032
10,1093748K,AKAS TECHNOLOGY SDN. BHD.,"NO 6 JALAN MEGA 1/4 TAMAN PERINDUSTRIAN NUSA CEMERLANG, 79100 NUSAJAYA, JOHOR",JOHOR,15 Ogos 2024,,,,201401017661
11,609685M,SEAL CABLE (M) SDN. BHD.,"NO. 12, JALAN BAYU 4 BANDAR SERI ALAM, 81750 MASAI, JOHOR",JOHOR,15 Ogos 2024,,,,200301007265
12,1487793H,KJ BERSATU SDN. BHD.,"NO. 1, JALAN SENDAYAN INDAH 1 TAMAN SENDAYAN INDAH, 71950 SEREMBAN, NEGERI SEMBILAN",NEGERI SEMBILAN,15 Ogos 2024,,,,202201042096
13,1302790T,PROTRA SYNERGY SDN. BHD.,"ROOM 1, NO. 94 (1ST FLOOR) JALAN S2 D32, CITY CENTRE, 70300 SEREMBAN, NEGERI SEMBILAN",NEGERI SEMBILAN,15 Ogos 2024,,,,201801040759
15,1182224D,LANDAS DRILLING SDN. BHD.,"UTAMA ENTERPRISE PARK NO 67, JALAN TIARA SENTRAL 3,, 71800 NILAI IMPIAN, NILAI, NEGERI SEMBILAN",NEGERI SEMBILAN,15 Ogos 2024,,,,201601011293
